,Expected Annual Damage,Total Investment Costs,Expected Number of Deaths
398,3852114.3362319577,2220907119.4075623,0.0004414972103585446
399,13919198.004119214,2220907972.288622,0.0018823154682196998
400,3318524.147734078,881948984.9800775,0.0005550431728363928
401,747582743.1596568,881956273.8242778,0.05107924415466104
402,719672.0912283333,881948713.0058008,3.779865430442739e-05
403,0.0,881948679.3660549,0.0
404,6850578.419959269,881949027.8791605,0.0003463334235986343
405,0.0,881948679.3660549,0.0
406,0.0,881948679.3660549,0.0
407,5026521.995807267,881948854.504721,0.000737770684281505
408,0.0,881948679.3660549,0.0
409,25266793.69152302,881949597.820151,0.0016724389555478735
410,388273.4622474587,881948714.1909686,4.1888900195442917e-05
411,6369530.568596579,881949021.1468096,0.0003230987644471743
412,1383374.6984370318,881948770.4723438,0.00019686301452405825
413,27041634.07393091,881949924.1372803,0.005410904714631302
414,4527469.735415382,881948953.1767603,0.000491499132961321
415,14437277.8790009,881950023.4950722,0.002384249341152821
416,398319.9794580924,881948714.6514889,4.3478245710560615e-05
417,7336769.07729874,881949216.1338819,0.0010917930312526547
418,0.0,881948679.3660549,0.0
419,0.0,881948679.3660549,0.0
420,4027229.5911914636,881948888.4520231,0.00021877623322701366
421,17402610.95943622,881950017.8243631,0.0022603687837386335
422,36537495.16054482,881949164.523206,0.002377412564405551
423,74162832.5403121,881954266.2143552,0.003979110598945378
424,0.0,881948679.3660549,0.0
425,12260332.647115868,881948931.4060762,0.0011628206206133111
426,0.0,881948679.3660549,0.0
427,712591.1702705323,881948712.8423457,3.7234538797745335e-05
428,0.0,881948679.3660549,0.0
429,132215209.30146722,881950392.7823255,0.009540455096650483
430,0.0,881948679.3660549,0.0
431,10183617.57599472,881949294.4684514,0.001107157708044267
432,3027206.692560615,881948878.8287499,0.0004301239762381007
433,458610.6838733457,881948713.6282085,3.9946704821146075e-05
434,702677.5342925346,881948712.6135005,3.644474947286542e-05
435,328784138.5607315,881951863.825016,0.022965384417651735
436,1226904.6856929008,881948753.4215083,8.395235845402323e-05
437,1857876.701415775,881948805.5406669,0.00024211316736748068
438,0.0,881948679.3660549,0.0
439,23537304.392152186,881950232.8305031,0.001260917616149382
440,0.0,881948679.3660549,0.0
441,381218.8263497862,881948713.8675926,4.077286628143273e-05
442,5960913.469798509,881948997.4002706,0.000889690875373679
443,0.0,881948679.3660549,0.0
444,0.0,881948679.3660549,0.0
445,0.0,881948679.3660549,0.0
446,0.0,881948679.3660549,0.0
447,0.0,881948679.3660549,0.0
448,466934.7809379291,881948713.9410397,4.1026346356585106e-05
449,1290682407.175673,881963857.0606179,0.11094783696520397
450,1842717.8069908167,881948855.0962921,0.00018680787486092493
451,45619777.444658704,881952545.626439,0.0028110906642447977
452,5273262.388582062,881948996.0430629,0.0005771473697529783
453,0.0,881948679.3660549,0.0
454,0.0,881948679.3660549,0.0
455,8689662.463054685,881949114.1026495,0.0005280570579297484
456,4281935.400571724,881948820.0620071,0.0007007319328500689
457,4795615.036180712,881948929.3363343,0.0002533248901449061
458,4012159.586695159,881948885.1962707,0.0002075399948455018
459,505738.4613602661,881948711.5346285,3.272135125479485e-05
460,3887980.317802455,881948973.4586536,0.000532023001243595
461,946897.0483183468,881948752.2740828,7.99923685420863e-05
462,6329774.153904027,881948973.4586536,0.000532023001243595
463,0.0,881948679.3660549,0.0
464,7033974.657871667,881949027.9828298,0.0003466912061976713
465,4652180.808881648,881949027.0156335,0.0009050639101084944
466,0.0,881948679.3660549,0.0
467,1152615.8820432483,881948771.5257642,0.0002030088070118759
468,48690569.84965091,881949822.1891469,0.0061996295589957316
469,0.0,881948679.3660549,0.0
470,4937167.955736543,881948852.9445775,0.0007245987493014272
471,0.0,881948679.3660549,0.0
472,85241642.428851,881956886.2211269,0.01364644860436459
473,13639068.20262446,881949237.8918017,0.0011455476930224363
474,386532.62061780185,881948714.1111705,4.1613501390203556e-05
475,12918799.540894013,881949113.0279046,0.0013054468694345457
476,1269177.634362005,881948800.1027743,0.00012900644314487467
477,4216891.769770116,881948890.1610806,0.00022467452431332302
478,0.0,881948679.3660549,0.0
479,2869335.1107573234,881948890.4232713,0.0007664217421278402
480,576794.325930031,881948713.6620187,4.006339013484015e-05
481,1335666386.861908,881968569.8249114,0.14035144739724162
482,26441955.808859933,881950251.0514157,0.0012940128991021096
483,6371840.126631472,881949028.0737876,0.0016607952449554733
484,0.0,881948679.3660549,0.0
485,2886180.714189021,881948820.2256345,0.0001447611027918545
486,0.0,881948679.3660549,0.0
487,13286955.633465782,881949124.4856466,0.0021343534235558747
488,15498685.515880678,881949672.5641943,0.003244454377637459
489,17085462.570320502,881950211.7794209,0.0012192064646406955
490,0.0,881948679.3660549,0.0
491,0.0,881948679.3660549,0.0
492,0.0,881948679.3660549,0.0
493,369686.2988223572,881948713.3389554,3.894843593214807e-05
494,0.0,881948679.3660549,0.0
495,0.0,881948679.3660549,0.0
496,582956.5382087459,881948713.8465133,4.070011734112159e-05
497,2536994.1437385073,881948854.6780643,0.0007397298003704256
498,1047440418.741725,881963938.0620135,0.1117337484111778
499,20339442.883210804,881950063.031454,0.006381181065102413
500,0.0,881948679.3660549,0.0
501,134832831.7643901,881951148.056752,0.01521991784710418
502,0.0,881948679.3660549,0.0
503,0.0,881948679.3660549,0.0
504,0.0,881948679.3660549,0.0
505,450566.9073106134,881948713.3259121,3.8903421061774e-05
506,553703.3569022095,881948712.9706823,3.767745347209316e-05
507,3364395784.756602,881976437.2675184,0.19900174607130006
508,142786155.8961597,881950886.9134115,0.01455471384926671
509,0.0,881948679.3660549,0.0
510,11604836.009639742,881949560.2050687,0.0015560789650056596
511,0.0,881948679.3660549,0.0
512,385025.79120699834,881948714.0420994,4.1375123003355896e-05
513,0.0,881948679.3660549,0.0
514,0.0,881948679.3660549,0.0
515,28731398.63088565,881949367.953073,0.0036675272753698657
516,58507571.05511743,881952219.0534301,0.01411311009813769
517,0.0,881948679.3660549,0.0
518,64861497.29478988,881950057.0597599,0.0064570130482447296
519,1650949.9941002538,881948782.8678678,0.00010854960448566155
520,708993.3510934534,881948712.7592942,3.694791145080506e-05
521,3668004.8442357937,881949017.3455318,0.00030997981172153677
522,0.0,881948679.3660549,0.0
523,0.0,881948679.3660549,0.0
524,15510579.970269753,881949514.3287226,0.00068627374299731
525,22859983.37478223,881950263.5645994,0.006825439902479483
526,382722934.0326704,881953244.5836155,0.033945289428367956
527,741489.5445991835,881948713.5094322,3.9536784674213574e-05
528,3631603.4651220553,881949028.1090769,0.00034712690999550534
529,909797.2429025868,881948750.8798203,7.518049638672908e-05
530,2883691.671533847,881948820.1681777,0.00014456280830912492
531,2638990.091419895,881948887.8868828,0.00021682582303600228
532,3315350.5919389823,881948986.1532103,0.0005284376751160449
533,4825193.214563936,881949058.3497764,0.00035816467213760903
534,2914315055.2536755,881979033.9713207,0.21650750989543144
535,1547263742.3738167,881970413.1043384,0.15415074421546945
